Major,Small Major Cluster,Large Major Cluster,Job Title,Small Job Title Cluster,Large Job Title Cluster
Computer Science,Computer Science & IT,"ENGINEERING, SCIENCE & TECHNOLOGY",Cyber Security Specialist,Software & Data,Software & Data
Accounting,Finance & Accounting,BUSINESS & MANAGEMENT,Associate Accountant,Finance & Accounting,Finance & Accounting
Accounting,Finance & Accounting,BUSINESS & MANAGEMENT,Tax Associate,Finance & Accounting,Finance & Accounting
Mechanical Engineering,Engineering,"ENGINEERING, SCIENCE & TECHNOLOGY",O2 Engineer,Engineering,Engineering
Accounting,Finance & Accounting,BUSINESS & MANAGEMENT,Audit Associate,Finance & Accounting,Finance & Accounting
Accounting,Finance & Accounting,BUSINESS & MANAGEMENT,Associate,Management & Ops,Management & Ops
Accounting,Finance & Accounting,BUSINESS & MANAGEMENT,Accounting Assistant,Health & Science Research,Health & Science Research
Accounting,Finance & Accounting,BUSINESS & MANAGEMENT,Audit Associate,Finance & Accounting,Finance & Accounting
Chemistry,Physical & Environmental Sciences,"ENGINEERING, SCIENCE & TECHNOLOGY",Laboratory Technician III,Software & Data,Software & Data
Computer Science,Computer Science & IT,"ENGINEERING, SCIENCE & TECHNOLOGY",Tech Aid,Software & Data,Software & Data
Computer Science,Computer Science & IT,"ENGINEERING, SCIENCE & TECHNOLOGY",Technical Analyst,Software & Data,Software & Data
Accounting,Finance & Accounting,BUSINESS & MANAGEMENT,Tax Consultant,Finance & Accounting,Finance & Accounting
Accounting,Finance & Accounting,BUSINESS & MANAGEMENT,FSO Assurance Staff,Finance & Accounting,Finance & Accounting
Accounting,Finance & Accounting,BUSINESS & MANAGEMENT,Audit Associate,Finance & Accounting,Finance & Accounting
Accounting,Finance & Accounting,BUSINESS & MANAGEMENT,Accounting Associate,Finance & Accounting,Finance & Accounting
Mechanical Engineering,Engineering,"ENGINEERING, SCIENCE & TECHNOLOGY",Quality Engineer,Engineering,Engineering
Computer Science,Computer Science & IT,"ENGINEERING, SCIENCE & TECHNOLOGY",AWS Application Lead,Software & Data,Software & Data
Accounting,Finance & Accounting,BUSINESS & MANAGEMENT,Tax Accountant,Finance & Accounting,Finance & Accounting
Psychology,Social Sciences & Humanities,SOCIAL SCIENCES & EDUCATION,Direct Care,Education & Social Service,Education & Social Service
Mechanical Engineering,Engineering,"ENGINEERING, SCIENCE & TECHNOLOGY",Engineering Technician,Engineering,Engineering
