UST ID,CPF Major Fall 2022,CPF Major Code, Declared Major Spring 2026,Declared Second Major Spring 2026,Declared minor Spring 2026,Declared Minor 2 spring 2026
214,Actuarial Science,ACSC,ACSC,0,0,0
266,Actuarial Science,ACSC,ACSC,0,MATH,0
412,Actuarial Science,ACSC,ACSC,0,0,0
432,Actuarial Science,ACSC,ACSC,0,MATH,MAST
781,Actuarial Science,ACSC,ACSC,0,MATH,0
909,Actuarial Science,ACSC,ACSC,STAT,PHIL,0
904,Bus Admin - Business Analytics,BUBA,ACSC,0,STAT,MATH
410,Exercise Science,EXSC,ACSC,0,MATH,PHIL
40,Mathematics,MATH,ACSC,0,MAST,0
131,Psychology,PSWK,ARTH,THEO,PHLP,0
578,Bus Admin - Entrepreneurship,BUEN,BABA,0,BMKT,0
508,Physics,PHYS,BABA,0,BFIN,0
724,Psychology,PSWK,BABA,0,BUHC,BSOM
252,Undecided,UNDC,BABA,0,0,0
261,Undecided,UNDC,BABA,0,0,0
74,Biochemistry,BCH1,BCH1,0,0,0
637,Biochemistry,BCH1,BCH1,0,0,0
765,Biochemistry,BCH1,BCH1,0,0,0
848,Biochemistry,BCH1,BCH1,0,ENNM,0
919,Biochemistry,BCH1,BCH1,0,0,0
34,Biology,BIOL,BCH1,0,PHIL,0
213,Biology,BIOL,BCH1,0,PHIL,0
685,Chemistry,CHEM,BCH1,0,MATH,0
263,Undecided,UNDC,BCH1,0,0,0
797,Biochemistry,BCH1,BIOL,0,0,0
2,Biology,BIOL,BIOL,0,SUST,0
142,Biology,BIOL,BIOL,0,BUHC,0
159,Biology,BIOL,BIOL,0,SPAN,THEO
332,Biology,BIOL,BIOL,0,PSYC,0
348,Biology,BIOL,BIOL,0,0,0
779,Biology,BIOL,BIOL,0,BUAD,0
584,Exercise Science,EXSC,BIOL,0,0,0
246,Nursing,NRSG,BIOL,0,NUTR,0
593,Nursing,NRSG,BIOL,0,0,0
686,Undecided,UNDC,BIOL,0,0,0
330,Biochemistry,BCH1,BIOS,0,SOCJ,0
549,Biochemistry,BCH1,BIOS,0,PHIL,0
838,Biochemistry,BCH1,BIOS,0,0,0
32,Biology,BIOL,BIOS,0,BUAD,0
38,Biology,BIOL,BIOS,0,0,0
